date,ticker,change_noncommercial_long,change_noncommercial_short,change_nonrept_long,change_nonrept_short,change_noncommercial_delta,change_nonreportable_delta
2021-06-22,XAUUSD,-20794,5028,-3168,-146,-25822,-3022
2021-06-15,XAUUSD,-14834,2517,2491,-1280,-17351,3771
2021-06-08,XAUUSD,-45,4269,523,-422,-4314,945
2021-06-01,XAUUSD,560,1501,-6205,-4452,-941,-1753
2021-05-25,XAUUSD,-2001,-17754,4365,2150,15753,2215
2021-05-18,XAUUSD,8106,1472,746,1563,6634,-817
2021-05-11,XAUUSD,11967,-9547,3274,-373,21514,3647
2021-05-04,XAUUSD,-523,-645,-3073,2303,122,-5376
2021-04-27,XAUUSD,-5268,5611,3826,-1037,-10879,4863
2021-04-20,XAUUSD,6472,5848,2200,-1581,624,3781
2021-04-13,XAUUSD,-6190,2445,1872,-752,-8635,2624
2021-04-06,XAUUSD,12250,-9731,-2679,-1771,21981,-908
2021-03-30,XAUUSD,679,7218,-1077,461,-6539,-1538
2021-03-23,XAUUSD,6537,12666,-519,1024,-6129,-1543
2021-03-16,XAUUSD,1398,-3635,-3940,-502,5033,-3438
2021-03-09,XAUUSD,-10694,3781,1106,954,-14475,152
2021-03-02,XAUUSD,-18548,7547,-2313,1118,-26095,-3431
2021-02-23,XAUUSD,-19502,-266,-3417,696,-19236,-4113
2021-02-16,XAUUSD,-5743,10695,1099,1778,-16438,-679
2021-02-09,XAUUSD,-5026,693,-1410,-1367,-5719,-43
2021-02-02,XAUUSD,820,1240,-1517,-946,-420,-571
2021-01-26,XAUUSD,6025,-4883,237,-336,10908,573
2021-01-19,XAUUSD,-5710,-6121,-2075,1170,411,-3245
2021-01-12,XAUUSD,-36729,-3638,1076,-1393,-33091,2469
2021-01-05,XAUUSD,8134,-2312,3004,-219,10446,3223
2020-12-29,XAUUSD,-8058,1266,-54,-1533,-9324,1479
2020-12-21,XAUUSD,9260,2648,1701,-444,6612,2145
2020-12-15,XAUUSD,2339,-25,1327,-1928,2364,3255
2020-12-08,XAUUSD,13927,5021,313,1759,8906,-1446
2020-12-01,XAUUSD,4020,-12392,-9951,-1973,16412,-7978
2020-11-24,XAUUSD,-9374,-2006,1089,3464,-7368,-2375
2020-11-17,XAUUSD,11182,-352,54,439,11534,-385
2020-11-10,XAUUSD,-3282,-109,-2579,163,-3173,-2742
2020-11-03,XAUUSD,-4265,1460,-3952,-2553,-5725,-1399
2020-10-27,XAUUSD,-14143,-13173,4784,1476,-970,3308
2020-10-20,XAUUSD,13220,4287,-1778,-2314,8933,536
2020-10-13,XAUUSD,6064,13980,1250,-2853,-7916,4103
2020-10-06,XAUUSD,4816,-112,1966,4604,4928,-2638
2020-09-29,XAUUSD,7091,-17508,-5114,-285,24599,-4829
2020-09-22,XAUUSD,-15497,6420,1133,-2006,-21917,3139
2020-09-15,XAUUSD,11339,6835,1252,1610,4504,-358
2020-09-08,XAUUSD,7055,1378,-2066,-23,5677,-2043
2020-09-01,XAUUSD,4559,-5199,2966,1763,9758,1203
2020-08-25,XAUUSD,-810,1670,-568,-1722,-2480,1154
2020-08-18,XAUUSD,-4498,-3963,-1119,-1094,-535,-25
2020-08-11,XAUUSD,-14980,-287,645,-6034,-14693,6679
2020-08-04,XAUUSD,9259,7314,2026,6003,1945,-3977
2020-07-28,XAUUSD,-21649,7986,-1823,-5976,-29635,4153
2020-07-21,XAUUSD,4032,24,2759,4926,4008,-2167
2020-07-14,XAUUSD,-6825,-1895,1173,-3183,-4930,4356
2020-07-07,XAUUSD,8088,7400,1171,730,688,441
2020-06-30,XAUUSD,20483,5770,444,986,14713,-542
2020-06-23,XAUUSD,31064,3455,6518,4855,27609,1663
2020-06-16,XAUUSD,13423,-2312,229,1401,15735,-1172
2020-06-09,XAUUSD,-8224,2197,-2958,-213,-10421,-2745
2020-06-02,XAUUSD,-15952,2928,-1410,-2591,-18880,1181
2020-05-26,XAUUSD,-7246,6628,-553,1425,-13874,-1978
2020-05-19,XAUUSD,17623,8663,2064,-617,8960,2681
2020-05-12,XAUUSD,2200,9376,3070,-1003,-7176,4073
2020-05-05,XAUUSD,-11811,914,633,-99,-12725,732
2020-04-28,XAUUSD,5119,-8039,926,528,13158,398
2020-04-21,XAUUSD,-4354,-1424,-13,-2608,-2930,2595
2020-04-14,XAUUSD,6737,3178,1707,469,3559,1238
2020-04-07,XAUUSD,-7649,2258,3768,2209,-9907,1559
2020-03-31,XAUUSD,-30399,-882,-2120,-3773,-29517,1653
2020-03-24,XAUUSD,523,-5927,-1505,-5169,6450,3664
2020-03-17,XAUUSD,-18885,-1270,-8847,133,-17615,-8980
2020-03-10,XAUUSD,-29883,-9681,-2151,354,-20202,-2505
2020-03-03,XAUUSD,-23166,-7034,-13912,-5434,-16132,-8478
2020-02-25,XAUUSD,-19010,-1226,11388,3595,-17784,7793
2020-02-18,XAUUSD,51814,6139,4246,2100,45675,2146
2020-02-11,XAUUSD,626,-7542,-68,1996,8168,-2064
2020-02-04,XAUUSD,-20492,9794,-117,-1276,-30286,1159
2020-01-28,XAUUSD,1608,-10789,-4335,-849,12397,-3486
2020-01-21,XAUUSD,-2016,-476,3520,-104,-1540,3624
2020-01-14,XAUUSD,-6671,-3615,1035,4241,-3056,-3206
2020-01-07,XAUUSD,1860,7494,-448,4328,-5634,-4776
